Latitude,Longitude,Rainfall (mm),Temperature (C),Humidity (%),River Discharge (m3/s),Water Level (m),Elevation (m),Land Cover,Soil Type,Population Density,Infrastructure,Historical Floods,Flood Occurred
18.861663446573512,78.83558373553426,364.9991554949852,34.144337051165216,43.91296329635332,4236.182888482099,11.123328046763929,213.3055116778343,Desert,Peat,7276.742183727105,1,0,1
35.57071488588757,77.6544507907107,92.25599779935578,28.778773606025794,27.585422012964642,2472.5852185968524,13.216528126444754,4142.523098382936,Forest,Silt,6897.736955857149,0,1,0
29.227824312530746,73.10846346258295,173.3198471849431,43.934955745918224,30.108737997777276,977.3280531609291,6.947698130685015,1246.5379112970381,Agricultural,Loam,4361.518494055209,1,1,1
25.361096041714063,85.61073343294315,331.6403184289091,21.569353529527145,34.45369025447374,3683.208933050463,4.337680975101113,1419.6868217793447,Urban,Clay,6163.069701389279,1,1,1
12.52454057283066,81.82210065475024,241.04467226223997,32.63569247996822,36.29226674919587,2093.3906784164787,4.782698615331922,1131.2263917443277,Agricultural,Loam,6167.9645910408435,1,0,0
12.523841089749876,93.10532877739611,369.2855193174469,36.00630044970668,39.380944736843524,2973.137417262486,10.454223875465908,4200.41977610981,Agricultural,Loam,5377.538808888076,0,0,1
9.684424752877785,68.93117783397969,480.60395061142987,39.766934680361445,40.436802317079554,536.3264508696941,8.513370509872443,4894.509977031512,Desert,Sandy,6039.090369159945,0,0,0
33.11910822747312,86.67216989909866,58.273343857598746,27.209130912840212,56.45730763900288,3157.9199475799614,7.297411964658857,3775.933254650177,Agricultural,Peat,3994.453680470962,0,1,0
25.432335340553056,90.12551747683527,354.7838581990305,35.607657229724445,60.7658552660833,1867.7524447256217,3.041611181642611,4117.889302345951,Forest,Sandy,6782.941224731803,0,0,0
28.53410475608532,90.0251105064609,115.17207781605727,24.096044141528484,44.710336650108474,1670.9487485924724,13.13183531248355,3102.5023025966884,Water Body,Sandy,2270.0322241531867,0,1,1
8.59695033457827,93.69614504577024,207.23836370378461,28.06428277085461,92.58371359365826,4899.577893889006,11.715306712611092,2643.8745419823936,Water Body,Peat,8532.878669206382,1,0,1
36.12738571269784,89.14197854205533,16.43136289756991,41.86881393610197,64.25117786711637,2162.1532138012362,2.109579026088444,3607.890023952575,Water Body,Silt,8509.31815222057,1,1,0
32.140836583212234,94.9064917877832,67.95369114634947,43.49722827992863,82.99815424267254,3390.191890578671,5.51082681903205,178.81439403110156,Forest,Clay,4978.621275197568,1,1,1
14.157834209670009,77.64704139480585,159.88864452444983,36.56452040781794,93.93902659366746,3138.6376778692056,8.131981404583371,307.0026280169835,Urban,Sandy,4965.927515390254,0,1,1
13.272924049005919,82.59307308579474,170.99290264399247,26.230556723285552,33.05080916606442,521.5177544257882,6.8150793415729805,3436.367442880918,Forest,Sandy,3990.4768585491447,1,1,0
13.31873078574958,68.40831023520383,449.7926082310479,39.60173369923992,54.229958697250765,3739.6376853215806,5.966937581066076,1675.3498229352904,Water Body,Silt,457.423554764107,1,1,1
16.823025045826594,68.20177003179545,370.90645463325757,15.776012451762606,54.656832137168706,1615.7960171678826,10.78247846340794,2444.1717822413734,Urban,Peat,1432.650447713215,0,1,1
23.2179365173349,74.96367199309408,486.09148409352053,18.082377316182633,48.35778003506833,3994.6977459836753,0.8175525635675618,3909.9628182995507,Desert,Loam,7144.881604687626,0,1,1
20.526405540621358,70.92340871703347,299.53575516762027,34.84121209126083,20.712469324131195,3038.203913076912,7.071155086889128,2885.7895420346695,Forest,Silt,1427.4099953886687,0,0,1
16.445645065743214,75.54612967013685,120.85686604565899,23.73745725810172,85.2777686222476,1585.4574497674478,3.9327253558440205,4026.3093733152887,Agricultural,Loam,4120.450011263167,0,0,0
